Account Transactions
C Cubed Training
Date Range: 2025-01-01 to 2025-11-12
Report Type: Cash Basis (Paid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,Cash on Hand,,,,
Starting Balance,,,,,"$15,094.68"
,2025-05-19,Loaf N Jug,$36.00,,"$2,478.43"
,2025-05-27,Sam's Club,$33.00,,"$2,511.43"
,2025-05-28,Love's,$17.04,,"$2,528.47"
,2025-06-03,Loaf N Jug,$41.00,,"$2,569.47"
,2025-06-08,Southpark Market,$16.99,,"$2,586.46"
,2025-06-08,Loaf N Jug,$37.99,,"$2,624.45"
,2025-06-11,Trinidad Travel Plaza,$25.03,,"$2,649.48"
,2025-06-18,Loaf N Jug,$27.01,,"$2,676.49"
,2025-06-23,TA Express,$35.00,,"$2,711.49"
,2025-06-23,Loaf N Jug,$51.87,,"$2,763.36"
,2025-06-30,Loaf N Jug,$43.92,,"$2,807.28"
,2025-07-07,Loaf N Jug,$33.99,,"$2,841.27"
,2025-07-10,Sam's Club,$17.00,,"$2,858.27"
,2025-07-11,Circle K,$37.01,,"$2,895.28"
,2025-07-16,Loaf N Jug,$59.02,,"$2,954.30"
,2025-07-22,Loaf N Jug,$40.99,,"$2,995.29"
,2025-07-31,Loaf N Jug,$30.02,,"$3,025.31"
,2025-08-05,Loaf N Jug,$32.54,,"$3,057.85"
,2025-08-10,Sam's Club - Gas,$29.00,,"$3,086.85"
,2025-08-13,Love's - Pueblo,$37.50,,"$3,124.35"
,2025-08-16,Loaf n Jug,$34.59,,"$3,158.94"
,2025-08-20,Circle K,$30.00,,"$3,188.94"
,2025-08-23,Loaf N Jug - Walsenburg,$26.02,,"$3,214.96"
,2025-08-25,Loaf N Jug,$32.00,,"$3,246.96"
,2025-08-29,Loaf n Jug,$41.02,,"$3,287.98"
,2025-09-03,Maverick,$37.90,,"$3,325.88"
,2025-09-08,Maverick,$31.00,,"$3,356.88"
,2025-09-11,Love's,$43.00,,"$3,399.88"
,2025-09-16,Maverick,$35.76,,"$3,435.64"
,2025-09-17,Altitude,$56.03,,"$3,491.67"
,2025-09-21,TA Express,$37.01,,"$3,528.68"
,2025-09-24,Loaf N Jug,$30.99,,"$3,559.67"
,2025-10-04,Circle K,$45.11,,"$3,604.78"
,2025-10-07,Sams Club,$42.98,,"$3,647.76"
,2025-10-14,Circle K,$33.00,,"$3,680.76"
,2025-10-15,Altitude,$41.02,,"$3,721.78"
,2025-10-18,Maverick,$61.02,,"$3,782.80"
,2025-10-18,Maverick,$41.85,,"$3,824.65"
,2025-10-21,Loaf N Jug,$40.03,,"$3,864.68"
,2025-10-24,Altitude,$50.12,,"$3,914.80"
,2025-10-26,Loaf N Jug,$31.01,,"$3,945.81"
,2025-10-31,Loaf N Jug,$42.95,,"$3,988.76"
,2025-11-03,Loaf N Jug,$31.01,,"$4,019.77"
,2025-11-05,Loaf N Jug,$33.76,,"$4,053.53"
Totals and Ending Balance,,,"$2,609.33",$0.00,"$4,053.53"
Balance Change,,,"$2,609.33",,
""
,Vehicle – Repairs & Maintenance,,,,
Starting Balance,,,,,$0.00
,2025-02-01,VIOC - Valvoline Instant Oil Change,$94.99,,$94.99
,2025-04-11,Champion Xpress,$22.00,,$116.99
,2025-05-12,Champion Xpress,$16.00,,$132.99
,2025-05-13,Meineke,$59.53,,$192.52
,2025-06-08,Superior Car Wash,$14.00,,$206.52
,2025-07-16,Big O,"$1,258.01",,"$1,464.53"
,2025-07-23,Superior Car Wash,$14.00,,"$1,478.53"
,2025-09-09,Champion Express,$26.00,,"$1,504.53"
,2025-10-27,VIOC,$111.45,,"$1,615.98"
Totals and Ending Balance,,,"$1,615.98",$0.00,"$1,615.98"
Balance Change,,,"$1,615.98",,
""
,Merchant Account Fees,,,,
Starting Balance,,,,,$0.00
,2025-03-11,Checkout Payment: Pueblo STEM Camp,$0.73,,$0.73
,2025-03-12,Checkout Payment: Pueblo STEM Camp,$0.73,,$1.46
,2025-03-12,Checkout Payment: Pueblo STEM Camp,$0.73,,$2.19
,2025-03-13,Checkout Payment: Florence STEM Camp,$0.73,,$2.92
,2025-03-26,Checkout Payment: Pueblo STEM Camp,$0.73,,$3.65
,2025-03-27,Checkout Payment: Pueblo STEM Camp,$0.73,,$4.38
,2025-04-04,Checkout Payment: Pueblo STEM Camp,$0.73,,$5.11
,2025-05-03,Checkout Payment: Walsenburg STEM Camp,$0.73,,$5.84
,2025-05-03,Checkout Payment: Pueblo STEM Camp,$0.73,,$6.57
,2025-05-15,Checkout Payment: Florence STEM Camp,$0.85,,$7.42
,2025-05-16,Checkout Payment: Florence STEM Camp,$0.73,,$8.15
,2025-05-16,Checkout Payment: Florence STEM Camp,$0.73,,$8.88
,2025-05-19,Checkout Payment: Pueblo STEM Camp,$0.73,,$9.61
,2025-05-19,Checkout Refund: Florence STEM Camp,,$0.85,$8.76
,2025-05-19,Checkout Refund: Florence STEM Camp,,$0.73,$8.03
,2025-05-19,Checkout Refund: Florence STEM Camp,,$0.73,$7.30
,2025-05-19,Checkout Refund: Florence STEM Camp,,$0.73,$6.57
,2025-05-20,Checkout Payment: Pueblo STEM Camp,$0.73,,$7.30
,2025-05-20,Checkout Payment: Pueblo STEM Camp,$0.73,,$8.03
,2025-05-26,Checkout Payment: Pueblo STEM Camp,$0.73,,$8.76
,2025-05-28,Checkout Payment: PAX8 Member Donation - Thankyou!,$2.18,,$10.94
,2025-07-09,Checkout Payment: Provide Lunch for the Week of Camp,$14.50,,$25.44
,2025-07-11,Jonathan Haas - Payment for Invoice #1,$14.50,,$39.94
Totals and Ending Balance,,,$42.98,$3.04,$39.94
Balance Change,,,$39.94,,
""
,Uncategorized Expense,,,,
Starting Balance,,,,,$0.00
,2025-10-18,Golden Corral,$142.32,,$142.32
Totals and Ending Balance,,,$142.32,$0.00,$142.32
Balance Change,,,$142.32,,
